Tinggi (cm),Berat (kg),Tingkat Aktivitas,Tujuan,Kategori,Durasi (menit),Kalori Terbakar,Umur,Jenis Kelamin,Rekomendasi Olahraga
162,100,Tinggi,Pemeliharaan Kebugaran,Kekuatan,44,462,44,Pria,Angkat Beban
171,67,Tinggi,Pemeliharaan Kebugaran,Kardio,31,203,34,Wanita,Bersepeda
150,64,Sedang,Pemeliharaan Kebugaran,Kekuatan,35,667,42,Pria,Angkat Beban
141,58,Tinggi,Pemeliharaan Kebugaran,Fleksibilitas,59,683,34,Wanita,Senam
196,58,Sedang,Peningkatan Massa Otot,Kardio,65,492,45,Wanita,Bersepeda
171,85,Rendah,Peningkatan Massa Otot,Kekuatan,30,632,34,Pria,Angkat Beban
180,107,Rendah,Peningkatan Massa Otot,Fleksibilitas,83,614,56,Wanita,Senam
181,90,Tinggi,Peningkatan Massa Otot,Fleksibilitas,58,689,21,Wanita,Senam
157,114,Sedang,Penurunan Berat Badan,Fleksibilitas,30,468,22,Pria,Senam
154,108,Tinggi,Pemeliharaan Kebugaran,Fleksibilitas,40,174,53,Pria,Senam
167,77,Rendah,Pemeliharaan Kebugaran,Kardio,47,324,54,Pria,Bersepeda
180,67,Sedang,Peningkatan Massa Otot,Kekuatan,89,462,52,Wanita,Angkat Beban
185,108,Rendah,Peningkatan Massa Otot,Fleksibilitas,34,251,39,Pria,Senam
196,53,Sedang,Peningkatan Massa Otot,Fleksibilitas,73,422,20,Wanita,Senam
147,81,Tinggi,Pemeliharaan Kebugaran,Kardio,50,628,55,Pria,Bersepeda
177,79,Rendah,Pemeliharaan Kebugaran,Fleksibilitas,41,529,59,Pria,Senam
150,89,Tinggi,Peningkatan Massa Otot,Fleksibilitas,86,567,36,Wanita,Senam
177,108,Tinggi,Penurunan Berat Badan,Kekuatan,73,320,25,Wanita,Angkat Beban
152,63,Tinggi,Penurunan Berat Badan,Kardio,35,150,28,Wanita,Lari
189,73,Rendah,Pemeliharaan Kebugaran,Kardio,58,335,31,Pria,Bersepeda
172,74,Rendah,Peningkatan Massa Otot,Kekuatan,77,640,28,Wanita,Angkat Beban
158,76,Sedang,Peningkatan Massa Otot,Kardio,88,178,30,Pria,Bersepeda
149,70,Rendah,Peningkatan Massa Otot,Kardio,38,344,24,Wanita,Bersepeda
182,50,Tinggi,Penurunan Berat Badan,Kardio,89,307,44,Wanita,Lari
178,58,Rendah,Pemeliharaan Kebugaran,Kekuatan,36,212,56,Wanita,Angkat Beban
199,88,Tinggi,Pemeliharaan Kebugaran,Fleksibilitas,88,643,25,Wanita,Senam
191,74,Sedang,Peningkatan Massa Otot,Fleksibilitas,32,368,29,Pria,Senam
143,118,Sedang,Pemeliharaan Kebugaran,Kekuatan,84,163,42,Pria,Angkat Beban
158,115,Rendah,Pemeliharaan Kebugaran,Kardio,60,470,58,Wanita,Bersepeda
174,59,Sedang,Peningkatan Massa Otot,Fleksibilitas,71,600,36,Wanita,Senam
178,48,Tinggi,Peningkatan Massa Otot,Kekuatan,88,283,56,Wanita,Angkat Beban
160,55,Tinggi,Peningkatan Massa Otot,Kekuatan,50,386,53,Pria,Angkat Beban
